run,time_h,type,name,value
diag_bound_fix,0.0,species,Eth,0.0
diag_bound_fix,6.0,species,Eth,4.113879728172475
diag_bound_fix,0.0,species,G,10.0
diag_bound_fix,6.0,species,G,4.66873199299402
diag_scaled,0.0,species,Eth,0.0
diag_scaled,6.0,species,Eth,4.113879728172475
diag_scaled,0.0,species,G,10.0
diag_scaled,6.0,species,G,4.66873199299402
diag_bound_fix,0.0,hold_up,M,1000.0
diag_bound_fix,6.0,hold_up,M,999.99978433099
diag_scaled,0.0,hold_up,M,1000.0
diag_scaled,6.0,hold_up,M,999.99978433099
diag_bound_fix,0.0,control,F_liquified_fibers,0.8927029066252319
diag_bound_fix,6.0,control,F_liquified_fibers,0.8927029066252319
diag_bound_fix,0.0,control,F_C5liquid,0.18842750072280895
diag_bound_fix,6.0,control,F_C5liquid,0.18842750072280895
diag_scaled,0.0,control,F_liquified_fibers,0.8927029066252319
diag_scaled,6.0,control,F_liquified_fibers,0.8927029066252319
diag_scaled,0.0,control,F_C5liquid,0.18842750072280895
diag_scaled,6.0,control,F_C5liquid,0.18842750072280895
diag_bound_fix,0.0,rate_q,G,103094.83530508309
diag_bound_fix,6.0,rate_q,G,0.0002468180099031021
diag_bound_fix,0.0,rate_R,Eth,89503.299620226
diag_bound_fix,6.0,rate_R,Eth,0.00019045735374703307
diag_scaled,0.0,rate_q,G,103094.83530508309
diag_scaled,6.0,rate_q,G,0.0002468180099031021
diag_scaled,0.0,rate_R,Eth,89503.299620226
diag_scaled,6.0,rate_R,Eth,0.00019045735374703307
