run,time_h,type,name,value
diag_monotonic,26.4,hold_up,M,999.9999640385504
diag_monotonic,28.8,hold_up,M,999.9999644048216
diag_monotonic,30.0,hold_up,M,999.9999647711659
diag_monotonic,32.4,hold_up,M,999.9999551459331
diag_monotonic,34.8,hold_up,M,999.9999555122045
diag_monotonic,36.0,hold_up,M,999.9999558784759
diag_monotonic,38.4,hold_up,M,999.9999462532452
diag_monotonic,40.8,hold_up,M,999.9999466195167
diag_monotonic,42.0,hold_up,M,999.999946985788
diag_monotonic,44.4,hold_up,M,999.9999373605742
diag_monotonic,46.8,hold_up,M,999.9999377268456
diag_nomono,0.0,hold_up,M,1000.0
diag_nomono,2.4,hold_up,M,999.999913951006
diag_nomono,4.8,hold_up,M,999.9998279047505
diag_nomono,6.0,hold_up,M,999.9997418639249
diag_nomono,8.4,hold_up,M,999.9996558384339
diag_nomono,10.8,hold_up,M,999.9995698134427
diag_nomono,12.0,hold_up,M,999.9994837890697
diag_nomono,14.4,hold_up,M,999.9993977662306
diag_nomono,16.8,hold_up,M,999.999311743415
diag_nomono,18.0,hold_up,M,999.999225720623
diag_nomono,20.4,hold_up,M,999.9991396978859
diag_nomono,22.8,hold_up,M,999.9990536751494
diag_nomono,24.0,hold_up,M,999.9989676524141
diag_nomono,26.4,hold_up,M,999.9988816296803
diag_nomono,28.8,hold_up,M,999.9987956069466
diag_nomono,30.0,hold_up,M,999.998709584216
diag_nomono,32.4,hold_up,M,999.9986235614822
diag_nomono,34.8,hold_up,M,999.9985375387483
diag_nomono,36.0,hold_up,M,999.9984515160146
diag_nomono,38.4,hold_up,M,999.9983654932806
diag_nomono,40.8,hold_up,M,999.9982794705467
diag_nomono,42.0,hold_up,M,999.9981934478126
diag_nomono,44.4,hold_up,M,999.9981074250785
diag_nomono,46.8,hold_up,M,999.9980214023442
diag_monotonic,0.0,control,F_liquified_fibers,0.8927029066252297
diag_monotonic,2.4,control,F_liquified_fibers,1.1972669190855989e-09
diag_monotonic,4.8,control,F_liquified_fibers,6.683761839866265e-12
diag_monotonic,6.0,control,F_liquified_fibers,0.8927029066252302
diag_monotonic,8.4,control,F_liquified_fibers,-5.571745311896921e-10
diag_monotonic,10.8,control,F_liquified_fibers,2.1065688226338536e-11
diag_monotonic,12.0,control,F_liquified_fibers,0.8927029066252302
diag_monotonic,14.4,control,F_liquified_fibers,-5.569165776358014e-10
diag_monotonic,16.8,control,F_liquified_fibers,2.1191659217074163e-11
diag_monotonic,18.0,control,F_liquified_fibers,0.8927029066252302
diag_monotonic,20.4,control,F_liquified_fibers,-5.913273270592716e-10
diag_monotonic,22.8,control,F_liquified_fibers,2.1195418665392954e-11
diag_monotonic,24.0,control,F_liquified_fibers,0.8927029066252302
diag_monotonic,26.4,control,F_liquified_fibers,-5.570149555829722e-10
diag_monotonic,28.8,control,F_liquified_fibers,2.119618306326726e-11
diag_monotonic,30.0,control,F_liquified_fibers,0.8927029066252302
diag_monotonic,32.4,control,F_liquified_fibers,-5.57012373102506e-10
diag_monotonic,34.8,control,F_liquified_fibers,2.1196366552384942e-11
diag_monotonic,36.0,control,F_liquified_fibers,0.8927029066252302
diag_monotonic,38.4,control,F_liquified_fibers,-5.569016830962249e-10
diag_monotonic,40.8,control,F_liquified_fibers,2.1192178777490662e-11
diag_monotonic,42.0,control,F_liquified_fibers,0.8927029066252302
diag_monotonic,44.4,control,F_liquified_fibers,-5.569734923957961e-10
diag_monotonic,46.8,control,F_liquified_fibers,2.1197057759947197e-11
diag_monotonic,0.0,control,F_C5liquid,0.18842750072280903
diag_monotonic,2.4,control,F_C5liquid,-1.1840277760131192e-09
diag_monotonic,4.8,control,F_C5liquid,6.6838566274302734e-12
diag_monotonic,6.0,control,F_C5liquid,0.18842750072280898
diag_monotonic,8.4,control,F_C5liquid,-5.571747844435415e-10
diag_monotonic,10.8,control,F_C5liquid,2.1065475457784773e-11
diag_monotonic,12.0,control,F_C5liquid,0.18842750072280898
diag_monotonic,14.4,control,F_C5liquid,-5.569167711775089e-10
diag_monotonic,16.8,control,F_C5liquid,2.1191322029695578e-11
diag_monotonic,18.0,control,F_C5liquid,0.18842750072280898
diag_monotonic,20.4,control,F_C5liquid,-5.227014293405233e-10
diag_monotonic,22.8,control,F_C5liquid,2.1196759932831143e-11
diag_monotonic,24.0,control,F_C5liquid,0.18842750072280898
diag_monotonic,26.4,control,F_C5liquid,-5.57014522214087e-10
diag_monotonic,28.8,control,F_C5liquid,2.119631875002889e-11
diag_monotonic,30.0,control,F_C5liquid,0.18842750072280898
diag_monotonic,32.4,control,F_C5liquid,-5.570191875998035e-10
diag_monotonic,34.8,control,F_C5liquid,2.1196151096295116e-11
diag_monotonic,36.0,control,F_C5liquid,0.18842750072280898
diag_monotonic,38.4,control,F_C5liquid,-5.571296380675521e-10
diag_monotonic,40.8,control,F_C5liquid,2.1200347245139565e-11
diag_monotonic,42.0,control,F_C5liquid,0.18842750072280898
diag_monotonic,44.4,control,F_C5liquid,-5.570558923526134e-10
diag_monotonic,46.8,control,F_C5liquid,2.119545614261521e-11
diag_nomono,0.0,control,F_liquified_fibers,0.8927029066252293
diag_nomono,2.4,control,F_liquified_fibers,-4.979457027527735e-09
diag_nomono,4.8,control,F_liquified_fibers,-4.979533266879291e-09
diag_nomono,6.0,control,F_liquified_fibers,0.8927029066252302
diag_nomono,8.4,control,F_liquified_fibers,-4.9769634552655386e-09
diag_nomono,10.8,control,F_liquified_fibers,-4.978297806256877e-09
diag_nomono,12.0,control,F_liquified_fibers,0.8927029066252302
diag_nomono,14.4,control,F_liquified_fibers,-4.978173531471082e-09
diag_nomono,16.8,control,F_liquified_fibers,-4.978172117455331e-09
diag_nomono,18.0,control,F_liquified_fibers,0.8927029066252302
diag_nomono,20.4,control,F_liquified_fibers,-4.978167631845801e-09
diag_nomono,22.8,control,F_liquified_fibers,-4.978167732366416e-09
diag_nomono,24.0,control,F_liquified_fibers,0.8927029066252302
diag_nomono,26.4,control,F_liquified_fibers,-4.978167443038251e-09
diag_nomono,28.8,control,F_liquified_fibers,-4.978170444486844e-09
diag_nomono,30.0,control,F_liquified_fibers,0.8927029066252302
diag_nomono,32.4,control,F_liquified_fibers,-4.9781687996435456e-09
diag_nomono,34.8,control,F_liquified_fibers,-4.978168549164417e-09
diag_nomono,36.0,control,F_liquified_fibers,0.8927029066252302
diag_nomono,38.4,control,F_liquified_fibers,-4.978167451198806e-09
diag_nomono,40.8,control,F_liquified_fibers,-4.9781674511827545e-09
diag_nomono,42.0,control,F_liquified_fibers,0.8927029066252302
diag_nomono,44.4,control,F_liquified_fibers,-4.978167462584274e-09
diag_nomono,46.8,control,F_liquified_fibers,-4.978167462556524e-09
diag_nomono,0.0,control,F_C5liquid,0.18842750072280898
diag_nomono,2.4,control,F_C5liquid,-4.9799172899601986e-09
diag_nomono,4.8,control,F_C5liquid,-4.979524076068387e-09
diag_nomono,6.0,control,F_C5liquid,0.18842750072280898
diag_nomono,8.4,control,F_C5liquid,-4.979690597375483e-09
diag_nomono,10.8,control,F_C5liquid,-4.9782983875276665e-09
diag_nomono,12.0,control,F_C5liquid,0.18842750072280898
diag_nomono,14.4,control,F_C5liquid,-4.978173596820006e-09
diag_nomono,16.8,control,F_C5liquid,-4.9781722814823596e-09
diag_nomono,18.0,control,F_C5liquid,0.18842750072280898
diag_nomono,20.4,control,F_C5liquid,-4.9781676880747676e-09
diag_nomono,22.8,control,F_C5liquid,-4.97816749190163e-09
diag_nomono,24.0,control,F_C5liquid,0.18842750072280898
diag_nomono,26.4,control,F_C5liquid,-4.97816748202877e-09
diag_nomono,28.8,control,F_C5liquid,-4.978164477701994e-09
diag_nomono,30.0,control,F_C5liquid,0.18842750072280898
diag_nomono,32.4,control,F_C5liquid,-4.978166132169219e-09
diag_nomono,34.8,control,F_C5liquid,-4.978166382587459e-09
diag_nomono,36.0,control,F_C5liquid,0.18842750072280898
diag_nomono,38.4,control,F_C5liquid,-4.978167505229543e-09
diag_nomono,40.8,control,F_C5liquid,-4.978167505213491e-09
diag_nomono,42.0,control,F_C5liquid,0.18842750072280898
diag_nomono,44.4,control,F_C5liquid,-4.978167516615014e-09
diag_nomono,46.8,control,F_C5liquid,-4.97816751658726e-09
