step_index,t_start_h,t_end_h,prediction_h,apply_h,nfe,mod_elapsed_s,predicted_end_h,applied_abs_time_h,propagation_mode,schedule_horizon_h,horizon_gap,final_ethanol_pred,ethanol_applied_pred,final_hold_up_pred,hold_up_applied_pred,productivity_pred,economic_metric,economic_metric2,git_commit,git_dirty,python_version,feasible_flag,schedule_feasible_flag,schedule_obj_value,drift_l2,drift_max_abs,drift_l2_avg,drift_max_abs_avg,drift_l2_cum,drift_max_abs_cum,drift_alert
0,0.0,2.0,4.0,2.0,2,0.42673563957214355,4.0,2.0,final,4.0,0.0,3.3780370040642693,1.924233435471131,999.9998575190241,999.9999292166566,0.8445092510160673,0.16211671773556546,0.1621167022139697,38fe2f9,True,3.10.18,1,1,8.891483763814238e-08,7.506498580748147,4.425194478694792,7.506498580748147,4.425194478694792,7.506498580748147,4.425194478694792,1
1,2.0,4.0,4.0,2.0,2,0.18023204803466797,6.0,4.0,final,4.0,0.0,5.298109875633758,4.462751711945,999.9997148500521,999.9997865351344,1.3245274689084394,1.4313758559724998,1.4313758472814544,38fe2f9,True,3.10.18,1,1,6.250904047520146e-08,6.4694393318507455,4.025521949141009,6.987968956299446,4.2253582139179,13.975937912598893,8.4507164278358,1
2,4.0,6.0,4.0,2.0,2,0.18546390533447266,8.0,6.0,final,4.0,0.0,6.3298229755886,5.923118117256793,999.9995715943813,999.999643218378,1.58245574389715,2.161559058628397,2.161559050088012,38fe2f9,True,3.10.18,1,1,6.186840891249862e-08,9.595195030663314,4.825097579119202,7.857044314420736,4.425271335651668,23.571132943262207,13.275814006955002,1
3,6.0,8.0,4.0,2.0,2,0.18802380561828613,10.0,8.0,final,4.0,0.0,6.639337062288178,6.544548406768691,999.999428352119,999.9994999746813,1.6598342655720446,2.4722742033843454,2.472274194701959,38fe2f9,True,3.10.18,1,1,6.359880629895216e-08,8.072335444170863,4.739077869179042,8.045656602228307,4.529899132479751,31.643468387433067,18.014891876134044,1
