step_index,t_start_h,t_end_h,prediction_h,apply_h,nfe,mod_elapsed_s,predicted_end_h,applied_abs_time_h,propagation_mode,schedule_horizon_h,horizon_gap,final_ethanol_pred,ethanol_applied_pred,final_hold_up_pred,hold_up_applied_pred,productivity_pred,economic_metric,economic_metric2,git_commit,git_dirty,python_version,feasible_flag,schedule_feasible_flag,schedule_obj_value,drift_l2,drift_max_abs,drift_l2_avg,drift_max_abs_avg,drift_l2_cum,drift_max_abs_cum,drift_alert,final_G_pred,final_X_pred,final_F_pred,final_HMF_pred,final_ACT_pred,final_Eth_pred,final_Cell_pred,final_CO2_pred
0,0.0,3.0,6.0,3.0,1,0.41248393058776855,6.0,3.0,final,6.0,0.0,4.1138797252954005,0.0,999.9997847283524,1000.0,0.6856466208825668,-0.8,-0.8,29b6b68,True,3.10.18,1,1,8.891483763814238e-08,8.316455588788774,4.47636357421338,8.316455588788774,4.47636357421338,8.316455588788774,4.47636357421338,,4.66873199320376,0.9795442005482805,0.011489768268977624,0.021614551245583907,0.056583313995188345,4.1138797252954005,1.0000002152717402,4.12171827232356
1,3.0,6.0,6.0,3.0,1,0.13665080070495605,9.0,6.0,final,6.0,0.0,6.02649920496155,4.1138797252954005,999.9995694693758,999.9997847283524,1.0044165341602584,0.5712932417651335,0.5712932417651335,29b6b68,True,3.10.18,1,1,6.303616610142222e-08,8.266924575782005,4.301230891172324,8.291690082285388,4.388797232692852,16.583380164570777,8.777594465385704,,1.2954223083106362,0.16163798672307703,0.0005482238429624056,0.004551238621181379,0.05013513595646308,6.02649920496155,1.0000004305309023,6.036044085404742
2,6.0,9.0,6.0,3.0,1,0.150831937789917,12.0,9.0,final,6.0,0.0,6.5755325893352,6.02649920496155,999.9993542645926,999.9995694693758,1.0959220982225333,1.2088330683205168,1.2088330683205168,29b6b68,True,3.10.18,1,1,5.998842951650925e-08,5.444694458732327,3.0149669164368476,7.342691541101035,3.9308537939408503,22.028074623303105,11.792561381822551,,0.24286254466908785,0.025815852752332877,2.5900471583238472e-05,0.0009529216934458651,0.04216858116592216,6.5755325893352,1.0000006457359634,6.585437303623217
3,9.0,12.0,6.0,3.0,1,0.20345592498779297,15.0,12.0,final,6.0,0.0,6.679238067965667,6.5755325893352,999.9991386399734,999.9993542645926,1.1132063446609444,1.3918441964450665,1.3918441964450665,29b6b68,True,3.10.18,1,1,6.234182479546034e-08,6.995807008464972,4.681589498333196,6.902475347659768,3.9992624353141224,29.023881631768077,16.474150880155747,,0.0406962519057233,0.0041011618915089,1.2230752241189113e-06,0.00019928183647720157,0.035011034559681485,6.679238067965667,1.0000008613609541,6.6892181483956294
4,12.0,15.0,6.0,3.0,1,0.14161038398742676,18.0,15.0,final,6.0,0.0,6.696607608944505,6.679238067965667,999.9989230156491,999.9991386399734,1.1161012681574174,1.4264126893218887,1.4264126893218887,29b6b68,True,3.10.18,1,1,6.249356746047196e-08,8.60137906212659,4.8717126278765335,7.013960176441297,4.189423014215525,37.62526069389467,21.34586350803228,,0.006679194407391771,0.0006509637199595213,5.775491286006488e-08,4.166485686495417e-05,0.028965857681662655,6.696607608944505,1.0000010769857428,6.706603453228677
5,15.0,18.0,6.0,3.0,1,0.15171551704406738,21.0,18.0,final,6.0,0.0,6.699453902557911,6.696607608944505,999.9987073917961,999.9989230156491,1.1165756504263185,1.4322025363148347,1.4322025363148347,29b6b68,True,3.10.18,1,1,5.404166918163072e-08,7.174185980597691,4.919582545683852,7.5904573503964174,4.824294890631194,44.79944667449236,26.265446053716133,,0.0010924115286136558,0.00010331127768375304,2.7272449892963306e-09,8.71062584126525e-06,0.023937354446534755,6.699453902557911,1.0000012926101534,6.70945304442143
6,18.0,21.0,6.0,3.0,1,0.15358972549438477,24.0,21.0,final,6.0,0.0,6.699919620427356,6.699453902557911,999.9984917679603,999.9987073917961,1.116653270071226,1.4331513008526369,1.4331513008526369,29b6b68,True,3.10.18,1,1,3.88189607421389e-08,9.640088770855145,4.914393724592443,8.471884604526474,4.901896299384276,54.4395354453475,31.179839778308576,,0.0001785669673437706,1.6395673509367653e-05,1.2878321456955118e-10,1.821059002951451e-06,0.01977219122128368,6.699919620427356,1.0000015082346394,6.709919453403803
7,21.0,24.0,6.0,3.0,1,0.1490786075592041,27.0,24.0,final,6.0,0.0,6.699996791603655,6.699919620427356,999.9982761441269,999.9984917679603,1.1166661319339426,1.4333065401424518,1.4333065401424518,29b6b68,True,3.10.18,1,1,3.944286612588189e-08,8.06151874403175,4.428414112391977,8.291931165161529,4.754130127556091,62.50105418937925,35.60825389070055,,2.9186058935467714e-05,2.6020115976067283e-06,6.081269916673152e-12,3.8071291670112947e-07,0.016327064821511736,6.699996791603655,1.0000017238592163,6.709996770770956
8,24.0,27.0,6.0,3.0,1,0.17284083366394043,30.0,27.0,final,6.0,0.0,6.700010587342537,6.699996791603655,999.9980605194462,999.9982761441269,1.1166684312237563,1.4333322638678851,1.4333322638678851,29b6b68,True,3.10.18,1,1,4.1425224861297545e-08,8.550732904473273,4.749303385351524,8.750780139786722,4.697370407445315,71.05178709385252,40.35755727605208,,4.770271498200333e-06,4.1294182337515585e-07,2.871634810584422e-13,7.95922761702841e-08,0.013479387451360379,6.700010587342537,1.0000019394847333,6.710010598778156
9,27.0,30.0,6.0,3.0,1,0.1659862995147705,33.0,30.0,final,6.0,0.0,6.700014046580827,6.700010587342537,999.9978448947655,999.9980605194462,1.116669007763471,1.4333368624475125,1.4333368624475125,29b6b68,True,3.10.18,1,1,3.917024187335329e-08,6.6118876194225535,4.717428345754783,7.741379755975859,4.631715281166095,77.66367471327507,45.07498562180686,,7.796677510378892e-07,6.553425098935124e-08,1.3560136129734037e-14,1.6639647399426544e-08,0.011126531771622789,6.700014046580827,1.0000021551103433,6.7100140664679655
10,30.0,33.0,6.0,3.0,1,0.16159844398498535,36.0,33.0,final,6.0,0.0,6.700015819877668,6.700014046580827,999.9976292700846,999.9978448947655,1.1166693033129447,1.4333380155269422,1.4333380155269422,29b6b68,True,3.10.18,1,1,5.269230331768089e-08,9.174749920280945,4.382633903889868,8.11245681472559,4.616455211665392,86.83842463355602,49.45761952569673,,1.2743117716555905e-07,1.0400330920421021e-08,6.403225556494724e-16,3.478701974751621e-09,0.009183122695056705,6.700015819877668,1.0000023707360464,6.710015843237159
11,33.0,36.0,6.0,3.0,1,0.1638336181640625,39.0,36.0,final,6.0,0.0,6.700017318173919,6.700015819877668,999.9974136454036,999.9976292700846,1.1166695530289865,1.4333386066258893,1.4333386066258893,29b6b68,True,3.10.18,1,1,5.8678304711923875e-08,5.604780538692617,3.327778008062211,7.130472692798705,4.14261341923562,92.44320517224864,52.78539753375894,,2.0827688389947585e-08,1.6505244224723503e-09,3.0236635319635365e-17,7.272608677703072e-10,0.0075783090357230045,6.700017318173919,1.0000025863618427,6.710017343964812
12,36.0,39.0,6.0,3.0,1,0.2021329402923584,42.0,39.0,final,6.0,0.0,6.700018773216171,6.700017318173919,999.9971977812586,999.9974136454036,1.1166697955360285,1.433339106057973,1.433339106057973,29b6b68,True,3.10.18,1,1,6.030114076200549e-08,6.8508357305688765,3.9826924223532387,7.210122063180812,3.897701444768439,99.29404090281751,56.76808995611218,,3.404100543212378e-09,2.6192164321898067e-10,1.4278021590213124e-18,1.5204179400306808e-10,0.006253369281925838,6.700018773216171,1.0000028022271976,6.71001880122324
13,39.0,42.0,6.0,3.0,1,0.17686128616333008,45.0,42.0,final,6.0,0.0,6.700020219336754,6.700018773216171,999.9969821565691,999.9971977812586,1.1166700365561257,1.433339591072057,1.433339591072057,29b6b68,True,3.10.18,1,1,6.059625097037115e-08,8.752801057923302,4.772317337951222,7.069472442394932,4.0275959227888904,108.04684196074082,61.5404072940634,,5.563386457345509e-10,4.154907831173733e-11,6.742213757952e-20,3.178593065997613e-11,0.005159678847209083,6.700020219336754,1.0000030178531887,6.710020249512109
14,42.0,45.0,6.0,3.0,1,0.1567378044128418,48.0,45.0,final,6.0,0.0,6.7000216642641135,6.700020219336754,999.9967665318794,999.9969821565691,1.1166702773773522,1.4333400731122514,1.4333400731122514,29b6b68,True,3.10.18,1,1,6.064624810313817e-08,8.977723596463548,4.483973917184883,8.193786794985241,4.412994559163114,117.02456555720437,66.02438121124828,,9.089220855134887e-11,6.57573615104131e-12,3.1837349966010386e-21,6.645126283287381e-12,0.004257002150391652,6.7000216642641135,1.0000032334792728,6.710021696598243
15,45.0,48.0,6.0,3.0,1,0.15884709358215332,51.0,48.0,final,6.0,0.0,6.700023108997322,6.7000216642641135,999.9965509071897,999.9967665318794,1.1166705181662204,1.4333405547547045,1.4333405547547045,29b6b68,True,3.10.18,1,1,6.066316131556344e-08,10.241369353508418,4.981357916903917,9.323964669298421,4.745883057346674,127.26593491071279,71.0057391281522,,1.4818267778300867e-11,1.0254123135302334e-12,1.503388472994985e-22,1.3891668704838144e-12,0.0035120641830061862,6.700023108997322,1.0000034491054501,6.71002314348824
0,0.0,3.0,6.0,3.0,1,0.3505220413208008,6.0,3.0,final,6.0,0.0,4.1138797252954005,0.0,999.9997847283524,1000.0,0.6856466208825668,-0.8,-0.8,29b6b68,True,3.10.18,1,1,8.891483763814238e-08,8.316455588788774,4.47636357421338,8.316455588788774,4.47636357421338,8.316455588788774,4.47636357421338,,4.66873199320376,0.9795442005482805,0.011489768268977624,0.021614551245583907,0.056583313995188345,4.1138797252954005,1.0000002152717402,4.12171827232356
1,3.0,6.0,6.0,3.0,1,0.13942241668701172,9.0,6.0,final,6.0,0.0,6.02649920496155,4.1138797252954005,999.9995694693758,999.9997847283524,1.0044165341602584,0.5712932417651335,0.5712932417651335,29b6b68,True,3.10.18,1,1,6.303616610142222e-08,8.266924575782005,4.301230891172324,8.291690082285388,4.388797232692852,16.583380164570777,8.777594465385704,,1.2954223083106362,0.16163798672307703,0.0005482238429624056,0.004551238621181379,0.05013513595646308,6.02649920496155,1.0000004305309023,6.036044085404742
2,6.0,9.0,6.0,3.0,1,0.14559197425842285,12.0,9.0,final,6.0,0.0,6.5755325893352,6.02649920496155,999.9993542645926,999.9995694693758,1.0959220982225333,1.2088330683205168,1.2088330683205168,29b6b68,True,3.10.18,1,1,5.998842951650925e-08,5.444694458732327,3.0149669164368476,7.342691541101035,3.9308537939408503,22.028074623303105,11.792561381822551,,0.24286254466908785,0.025815852752332877,2.5900471583238472e-05,0.0009529216934458651,0.04216858116592216,6.5755325893352,1.0000006457359634,6.585437303623217
3,9.0,12.0,6.0,3.0,1,0.14264178276062012,15.0,12.0,final,6.0,0.0,6.679238067965667,6.5755325893352,999.9991386399734,999.9993542645926,1.1132063446609444,1.3918441964450665,1.3918441964450665,29b6b68,True,3.10.18,1,1,6.234182479546034e-08,6.995807008464972,4.681589498333196,6.902475347659768,3.9992624353141224,29.023881631768077,16.474150880155747,,0.0406962519057233,0.0041011618915089,1.2230752241189113e-06,0.00019928183647720157,0.035011034559681485,6.679238067965667,1.0000008613609541,6.6892181483956294
4,12.0,15.0,6.0,3.0,1,0.15027785301208496,18.0,15.0,final,6.0,0.0,6.696607608944505,6.679238067965667,999.9989230156491,999.9991386399734,1.1161012681574174,1.4264126893218887,1.4264126893218887,29b6b68,True,3.10.18,1,1,6.249356746047196e-08,8.60137906212659,4.8717126278765335,7.013960176441297,4.189423014215525,37.62526069389467,21.34586350803228,,0.006679194407391771,0.0006509637199595213,5.775491286006488e-08,4.166485686495417e-05,0.028965857681662655,6.696607608944505,1.0000010769857428,6.706603453228677
5,15.0,18.0,6.0,3.0,1,0.1486196517944336,21.0,18.0,final,6.0,0.0,6.699453902557911,6.696607608944505,999.9987073917961,999.9989230156491,1.1165756504263185,1.4322025363148347,1.4322025363148347,29b6b68,True,3.10.18,1,1,5.404166918163072e-08,7.174185980597691,4.919582545683852,7.5904573503964174,4.824294890631194,44.79944667449236,26.265446053716133,,0.0010924115286136558,0.00010331127768375304,2.7272449892963306e-09,8.71062584126525e-06,0.023937354446534755,6.699453902557911,1.0000012926101534,6.70945304442143
6,18.0,21.0,6.0,3.0,1,0.15421390533447266,24.0,21.0,final,6.0,0.0,6.699919620427356,6.699453902557911,999.9984917679603,999.9987073917961,1.116653270071226,1.4331513008526369,1.4331513008526369,29b6b68,True,3.10.18,1,1,3.88189607421389e-08,9.640088770855145,4.914393724592443,8.471884604526474,4.901896299384276,54.4395354453475,31.179839778308576,,0.0001785669673437706,1.6395673509367653e-05,1.2878321456955118e-10,1.821059002951451e-06,0.01977219122128368,6.699919620427356,1.0000015082346394,6.709919453403803
7,21.0,24.0,6.0,3.0,1,0.15327668190002441,27.0,24.0,final,6.0,0.0,6.699996791603655,6.699919620427356,999.9982761441269,999.9984917679603,1.1166661319339426,1.4333065401424518,1.4333065401424518,29b6b68,True,3.10.18,1,1,3.944286612588189e-08,8.06151874403175,4.428414112391977,8.291931165161529,4.754130127556091,62.50105418937925,35.60825389070055,,2.9186058935467714e-05,2.6020115976067283e-06,6.081269916673152e-12,3.8071291670112947e-07,0.016327064821511736,6.699996791603655,1.0000017238592163,6.709996770770956
