step_index,t_start_h,t_end_h,prediction_h,apply_h,nfe,mod_elapsed_s,predicted_end_h,applied_abs_time_h,propagation_mode,schedule_horizon_h,horizon_gap,final_ethanol_pred,ethanol_applied_pred,final_hold_up_pred,hold_up_applied_pred,productivity_pred,economic_metric,economic_metric2,git_commit,git_dirty,python_version,feasible_flag,schedule_feasible_flag,schedule_obj_value,drift_l2,drift_max_abs,drift_l2_avg,drift_max_abs_avg,drift_l2_cum,drift_max_abs_cum,drift_alert
0,0.0,3.0,6.0,3.0,2,0.4141221046447754,6.0,3.0,final,6.0,0.0,4.370922033856919,2.616411825050762,999.9997848238982,999.9998923943936,0.7284870056428199,0.07213727501692069,0.07213727501692069,38fe2f9,True,3.10.18,1,1,8.891483763814238e-08,8.309128620102616,4.476364056082829,8.309128620102616,4.476364056082829,8.309128620102616,4.476364056082829,
1,3.0,6.0,6.0,3.0,2,0.17303729057312012,9.0,6.0,final,6.0,0.0,6.252947591634214,5.552890328677522,999.9995695402985,999.9996771815993,1.0421579319390357,1.0509634428925074,1.0509634428925074,38fe2f9,True,3.10.18,1,1,6.168502233079232e-08,8.2682735612978,4.301231353936046,8.288701090700208,4.388797705009438,16.577402181400416,8.777595410018876,
2,6.0,9.0,6.0,3.0,2,0.22549200057983398,12.0,9.0,final,6.0,0.0,6.657960011598783,6.556559284217837,999.9993542929375,999.9994619170881,1.1096600019331306,1.3855197614059456,1.3855197614059456,38fe2f9,True,3.10.18,1,1,6.21233817850371e-08,5.445018440121582,3.0149672408298187,7.340806873840666,3.9308542169495646,22.022420621522,11.792562650848694,
3,9.0,12.0,6.0,3.0,2,0.33634209632873535,15.0,12.0,final,6.0,0.0,6.696637575755619,6.688051064577717,999.9991390556822,999.9992466740988,1.1161062626259366,1.429350354859239,1.429350354859239,38fe2f9,True,3.10.18,1,1,5.387558559795834e-08,6.996010761827139,4.681590002223956,6.903100921082174,3.999262865663274,29.01843138334914,16.47415265307265,
4,12.0,15.0,6.0,3.0,2,0.46343111991882324,18.0,15.0,final,6.0,0.0,6.69974136614006,6.699059888855102,999.9989238147284,999.9990314352495,1.1166235610233433,1.4330199629517006,1.4330199629517006,38fe2f9,True,3.10.18,1,1,4.207002789575346e-08,8.601450518463947,4.871713150351354,7.014159906804223,4.189423464468376,37.61988190181309,21.345865803424005,
5,15.0,18.0,6.0,3.0,2,0.2602198123931885,21.0,18.0,final,6.0,0.0,6.699987693703786,6.699933285536507,999.9987085737694,999.998816194311,1.1166646156172977,1.4333110951788355,1.4333110951788355,38fe2f9,True,3.10.18,1,1,3.822765065913537e-08,7.174187049947141,4.919583071406464,7.590549443412743,4.824295407993925,44.79406895176023,26.26544887483047,
6,18.0,21.0,6.0,3.0,2,0.2626841068267822,24.0,21.0,final,6.0,0.0,6.700008442397774,6.700003488878529,999.9984933269982,999.9986009503845,1.1166680737329624,1.433334496292843,1.433334496292843,38fe2f9,True,3.10.18,1,1,4.1904793075010234e-08,9.640090139799671,4.914394247893441,8.471909236070253,4.901896823217086,54.434159091559906,31.17984312272391,
7,21.0,24.0,6.0,3.0,2,0.25494861602783203,27.0,24.0,final,6.0,0.0,6.700011406611458,6.7000103518559015,999.9982780802367,999.9983857036232,1.1166685677685764,1.4333367839519673,1.4333367839519673,38fe2f9,True,3.10.18,1,1,4.732323270771852e-08,8.06151969283732,4.428414582274399,8.29193229419471,4.754130633858101,62.49567878439723,35.60825770499831,
