varTime : Variable processing time for units that consider dynamics [h]
    Size=6, Index=varTime_index
    Key               : Lower : Value              : Upper : Fixed : Stale : Domain
    ('R1', 'R_large') :     0 :  2.130960072574126 :   4.0 : False : False : NonNegativeReals
    ('R1', 'R_small') :     0 : 2.2225176610131427 :   4.0 : False : False : NonNegativeReals
    ('R2', 'R_large') :     0 :   2.85373100264369 :   4.0 : False : False : NonNegativeReals
    ('R2', 'R_small') :     0 :  2.915157276171497 :   4.0 : False : False : NonNegativeReals
    ('R3', 'R_large') :     0 : 1.5903090687033836 :   4.0 : False : False : NonNegativeReals
    ('R3', 'R_small') :     0 : 1.6765736729896061 :   4.0 : False : False : NonNegativeReals

Vreactor : Reactive mixture volume for reaction I in reactor J [m^3]
    Size=6, Index=Vreactor_index
    Key               : Lower : Value : Upper : Fixed : Stale : Domain
    ('R1', 'R_large') :  0.15 :   1.5 :   1.5 :  True :  True : NonNegativeReals
    ('R1', 'R_small') :   0.1 :     1 :     1 :  True :  True : NonNegativeReals
    ('R2', 'R_large') :  0.15 :   1.5 :   1.5 :  True :  True : NonNegativeReals
    ('R2', 'R_small') :   0.1 :     1 :     1 :  True :  True : NonNegativeReals
    ('R3', 'R_large') :  0.15 :   1.5 :   1.5 :  True :  True : NonNegativeReals
    ('R3', 'R_small') :   0.1 :     1 :     1 :  True :  True : NonNegativeReals

Cvar_(R1,R_large) : Component composition profile [kmol/m^3]
    Size=813, Index='Cvar_(R1,R_large)_index'
    Key             : Lower : Value                : Upper : Fixed : Stale : Domain
           (0, 'B') :  0.05 :                  1.0 :   1.0 : False : False : NonNegativeReals
           (0, 'C') :  0.05 :                  1.0 :   1.0 : False : False : NonNegativeReals
           (0, 'D') :   0.0 :                  0.0 :   1.9 : False : False : NonNegativeReals
    (0.001723, 'B') :  0.05 :   0.9978830147027805 :   1.0 : False : False : NonNegativeReals
    (0.001723, 'C') :  0.05 :   0.9978830147027805 :   1.0 : False : False : NonNegativeReals
    (0.001723, 'D') :   0.0 : 0.004233970594439194 :   1.9 : False : False : NonNegativeReals
    (0.007166, 'B') :  0.05 :   0.9911010558780201 :   1.0 : False : False : NonNegativeReals
    (0.007166, 'C') :  0.05 :     0.99110105587802 :   1.0 : False : False : NonNegativeReals
    (0.007166, 'D') :   0.0 : 0.017797888243958542 :   1.9 : False : False : NonNegativeReals
    (0.011111, 'B') :  0.05 :   0.9859787121208599 :   1.0 : False : False : NonNegativeReals
    (0.011111, 'C') :  0.05 :   0.9859787121208599 :   1.0 : False : False : NonNegativeReals
    (0.011111, 'D') :   0.0 :  0.02804257575827576 :   1.9 : False : False : NonNegativeReals
    (0.012834, 'B') :  0.05 :   0.9836580721338488 :   1.0 : False : False : NonNegativeReals
    (0.012834, 'C') :  0.05 :   0.9836580721338488 :   1.0 : False : False : NonNegativeReals
    (0.012834, 'D') :   0.0 :  0.03268385573229832 :   1.9 : False : False : NonNegativeReals
    (0.018277, 'B') :  0.05 :   0.9759034040884175 :   1.0 : False : False : NonNegativeReals
    (0.018277, 'C') :  0.05 :   0.9759034040884177 :   1.0 : False : False : NonNegativeReals
    (0.018277, 'D') :   0.0 :  0.04819319182315901 :   1.9 : False : False : NonNegativeReals
    (0.022222, 'B') :  0.05 :   0.9698215732091245 :   1.0 : False : False : NonNegativeReals
    (0.022222, 'C') :  0.05 :   0.9698215732091248 :   1.0 : False : False : NonNegativeReals
    (0.022222, 'D') :   0.0 :  0.06035685358174143 :   1.9 : False : False : NonNegativeReals
    (0.023945, 'B') :  0.05 :   0.9670290618592626 :   1.0 : False : False : NonNegativeReals
    (0.023945, 'C') :  0.05 :   0.9670290618592629 :   1.0 : False : False : NonNegativeReals
    (0.023945, 'D') :   0.0 :  0.06594187628146536 :   1.9 : False : False : NonNegativeReals
    (0.029388, 'B') :  0.05 :   0.9576118291679449 :   1.0 : False : False : NonNegativeReals
    (0.029388, 'C') :  0.05 :   0.9576118291679453 :   1.0 : False : False : NonNegativeReals
