rho_minus : Fraction of material in state k consumed by task i 
    Size=360, Index=rho_minus_index
    Key             : Lower : Value             : Upper : Fixed : Stale : Domain
    ('T2', 'S1', 5) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T2', 'S1', 6) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T2', 'S1', 7) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T2', 'S2', 0) :     0 : 0.380087916678619 :     1 : False : False : NonNegativeReals
    ('T2', 'S2', 1) :     0 :  0.37911651550927 :     1 : False : False : NonNegativeReals
    ('T2', 'S2', 2) :     0 :               1.0 :     1 : False : False : NonNegativeReals
    ('T2', 'S2', 3) :     0 :               1.0 :     1 : False : False : NonNegativeReals
    ('T2', 'S2', 4) :     0 : 0.379294696955741 :     1 : False : False : NonNegativeReals
    ('T2', 'S2', 5) :     0 :               1.0 :     1 : False : False : NonNegativeReals
    ('T2', 'S2', 6) :     0 :               1.0 :     1 : False : False : NonNegativeReals
    ('T2', 'S2', 7) :     0 :               1.0 :     1 : False : False : NonNegativeReals
    ('T2', 'S3', 0) :     0 : 0.619912083321381 :     1 : False : False : NonNegativeReals
    ('T2', 'S3', 1) :     0 :  0.62088348449073 :     1 : False : False : NonNegativeReals
    ('T2', 'S3', 2) :     0 :               0.0 :     1 : False : False : NonNegativeReals
    ('T2', 'S3', 3) :     0 :               0.0 :     1 : False : False : NonNegativeReals
    ('T2', 'S3', 4) :     0 : 0.620705303044259 :     1 : False : False : NonNegativeReals
    ('T2', 'S3', 5) :     0 :               0.0 :     1 : False : False : NonNegativeReals
    ('T2', 'S3', 6) :     0 :               0.0 :     1 : False : False : NonNegativeReals
    ('T2', 'S3', 7) :     0 :               0.0 :     1 : False : False : NonNegativeReals
    ('T2', 'S4', 0) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T2', 'S4', 1) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T2', 'S4', 2) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T2', 'S4', 3) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T2', 'S4', 4) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T2', 'S4', 5) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T2', 'S4', 6) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T2', 'S4', 7) :     0 :              None :     1 : False :  True : NonNegativeReals
