step_index,mode,AC,ACT,Base,C,CO2,CS,Cell,E,Eth,F,G,HMF,LS,X,XS
0,final,2.6989000463126303,0.001550038979983348,4.670605589277983,-0.579724143176648,-0.07224027270181788,-2.2454053840992145,0.016495098449279322,-0.45060661701792526,-0.020278555480127025,0.0011410345606085795,0.3298456450084659,0.0014651017918020023,0.6168389348882215,0.08877844608516217,-3.744468921884362
1,final,4.560636889481671,-0.0008545099009413248,2.290880552350899,0.8179904031255916,0.16991025523404613,4.21096336866114,0.021769835699961382,-2.7886424375586074,0.27396513125825983,1.0497131400401402e-05,0.10764096924543676,-0.00010981918102870997,-4.677414428301802,-0.00016656926644170733,4.185118050196863
2,final,-3.1189119794217532,0.0008895853312086491,2.806225489417315,4.233201636355844,-0.10118461320977001,4.307814102011619,-0.022041937254147936,2.727562719648134,0.041737510515109655,7.868181908737017e-08,-0.003193959397334578,2.1598362581816844e-05,-3.1228417710473764,5.00014749980765e-05,3.3971799071375983
3,final,-3.1740412403294442,0.00017618240481680897,-0.40106360403770225,-3.4608846133305065,-0.27626890613175714,-0.24158814234992576,0.02710064887369179,4.831897156667637,-0.3138087786540762,-6.278179492163752e-10,0.0010325064916836754,2.3625023560549634e-06,-3.6080362420707246,-7.111045255375802e-06,-2.099104551176211
0,final,3.520866224367566,-0.0014990800148740324,-0.6372420721958463,-3.9229976896954213,-0.04359177993119134,-4.476364056082829,-0.03403376399002722,-1.6780230316192046,-0.04259082632605837,9.509516577389104e-05,0.2854198614715413,-0.00180292815868182,-0.9275823725363352,-0.08543315803240481,-4.128133265896977
1,final,2.9007190967561485,-0.0012798872242105186,2.687948080057353,-1.8454106781808974,0.04083286572617695,-4.1238659310854615,-0.047876417973691354,-3.5782501614158946,0.22830739021212043,-9.12728278395952e-06,-0.011908385214547845,0.00014944611605716054,-4.301231353936046,0.006494142289075966,0.9759948646491097
2,final,2.692792085150188,0.0007582317888169335,-0.1386353596248,1.0890257415550622,0.09084975737969003,-1.5653791078945432,0.0012752140725773575,-1.0176189335201826,0.12118961820808316,-3.368821298170611e-08,0.0007982977130332469,2.0693415250320145e-05,-2.9313765844317885,0.00037631648143233304,3.0149672408298187
3,final,-3.2987332862114442,-0.00016161575400227418,-1.6389400815254191,2.5417333851579116,-0.28581174531170284,1.6847033236613669,-0.016308397006368547,1.580742610475511,-0.07277047184749552,6.134918050937351e-10,-0.0007853932463750476,4.643367434129539e-07,-4.681590002223956,2.9254879289566764e-05,-1.2547845045149586
0,final,3.520866224367566,-0.0014990800148740324,-0.6372420721958463,-3.9229976896954213,-0.04359177993119134,-4.476364056082829,-0.03403376399002722,-1.6780230316192046,-0.04259082632605837,9.509516577389104e-05,0.2854198614715413,-0.00180292815868182,-0.9275823725363352,-0.08543315803240481,-4.128133265896977
1,final,2.9007190967561485,-0.0012798872242105186,2.687948080057353,-1.8454106781808974,0.04083286572617695,-4.1238659310854615,-0.047876417973691354,-3.5782501614158946,0.22830739021212043,-9.12728278395952e-06,-0.011908385214547845,0.00014944611605716054,-4.301231353936046,0.006494142289075966,0.9759948646491097
2,final,2.692792085150188,0.0007582317888169335,-0.1386353596248,1.0890257415550622,0.09084975737969003,-1.5653791078945432,0.0012752140725773575,-1.0176189335201826,0.12118961820808316,-3.368821298170611e-08,0.0007982977130332469,2.0693415250320145e-05,-2.9313765844317885,0.00037631648143233304,3.0149672408298187
3,final,-3.2987332862114442,-0.00016161575400227418,-1.6389400815254191,2.5417333851579116,-0.28581174531170284,1.6847033236613669,-0.016308397006368547,1.580742610475511,-0.07277047184749552,6.134918050937351e-10,-0.0007853932463750476,4.643367434129539e-07,-4.681590002223956,2.9254879289566764e-05,-1.2547845045149586
0,final,3.520866224367566,-0.0014990800148740324,-0.6372420721958463,-3.9229976896954213,-0.04359177993119134,-4.476364056082829,-0.03403376399002722,-1.6780230316192046,-0.04259082632605837,9.509516577389104e-05,0.2854198614715413,-0.00180292815868182,-0.9275823725363352,-0.08543315803240481,-4.128133265896977
1,final,2.9007190967561485,-0.0012798872242105186,2.687948080057353,-1.8454106781808974,0.04083286572617695,-4.1238659310854615,-0.047876417973691354,-3.5782501614158946,0.22830739021212043,-9.12728278395952e-06,-0.011908385214547845,0.00014944611605716054,-4.301231353936046,0.006494142289075966,0.9759948646491097
2,final,2.692792085150188,0.0007582317888169335,-0.1386353596248,1.0890257415550622,0.09084975737969003,-1.5653791078945432,0.0012752140725773575,-1.0176189335201826,0.12118961820808316,-3.368821298170611e-08,0.0007982977130332469,2.0693415250320145e-05,-2.9313765844317885,0.00037631648143233304,3.0149672408298187
3,final,-3.2987332862114442,-0.00016161575400227418,-1.6389400815254191,2.5417333851579116,-0.28581174531170284,1.6847033236613669,-0.016308397006368547,1.580742610475511,-0.07277047184749552,6.134918050937351e-10,-0.0007853932463750476,4.643367434129539e-07,-4.681590002223956,2.9254879289566764e-05,-1.2547845045149586
0,final,3.5208658453550754,-0.0012741832374119494,-0.6372420035983168,-3.9229972673944644,0.0,-4.47636357421338,-0.03403376032780303,-1.678022850984192,0.0,0.0007240408006785048,0.4011988779516944,-0.0049832944642077825,-0.9275822726844041,-0.23092316694883852,-4.128132821513702
1,final,2.9007187846716675,-0.0013278875639040275,2.6879477908646265,-1.845410479635646,0.03025674480873697,-4.1238654874042595,-0.047876412824737535,-3.578249776436749,0.1691423903832856,-0.00046790408206765464,-0.024127209378148606,0.0007302209073143072,-4.301230891172324,0.039710589875536884,0.9759947596431289
2,final,2.6927917954213996,0.0008355402992036021,-0.1386353447084332,1.0890256243822165,0.08351064027076482,-1.565378939468843,0.00127521393542529,-1.0176188240302935,0.11139213513078605,-1.0127714462891159e-05,0.0035073497026343325,0.00017754316802952048,-2.9313762690326968,0.005000085633931173,3.0149669164368476
