step_index,t_start_h,t_end_h,prediction_h,apply_h,nfe,mod_elapsed_s,predicted_end_h,applied_abs_time_h,propagation_mode,schedule_horizon_h,horizon_gap,final_ethanol_pred,ethanol_applied_pred,final_hold_up_pred,hold_up_applied_pred,productivity_pred,economic_metric,economic_metric2,git_commit,git_dirty,python_version,feasible_flag,schedule_feasible_flag,schedule_obj_value,drift_l2,drift_max_abs,drift_l2_avg,drift_max_abs_avg,drift_l2_cum,drift_max_abs_cum,drift_alert
0,0.0,2.0,4.0,2.0,2,0.35959744453430176,4.0,2.0,final,4.0,0.0,3.3780370040642693,1.924233435471131,999.9998575190241,999.9999292166566,0.8445092510160673,0.16211671773556546,0.1621167022139697,377735d,True,3.10.18,1,1,8.891483763814238e-08,9.40647066779274,4.837553181054105,9.40647066779274,4.837553181054105,9.40647066779274,4.837553181054105,1
1,2.0,4.0,4.0,2.0,2,0.16361689567565918,6.0,4.0,final,4.0,0.0,5.298109875633758,4.462751711945,999.9997148500521,999.9997865351344,1.3245274689084394,1.4313758559724998,1.4313758472406524,377735d,True,3.10.18,1,1,6.235479560784735e-08,6.938911988999991,4.76028990276609,8.172691328396366,4.798921541910097,16.345382656792733,9.597843083820194,1
2,4.0,6.0,4.0,2.0,2,0.18506693840026855,8.0,6.0,final,4.0,0.0,6.329822975588599,5.923118117256793,999.9995715943813,999.999643218378,1.5824557438971498,2.161559058628397,2.161559050152637,377735d,True,3.10.18,1,1,6.188258532295282e-08,7.2657936657682916,4.017392047861151,7.102352827384141,4.38884097531362,23.611176322561025,13.615235131681345,1
3,6.0,8.0,4.0,2.0,2,0.17292332649230957,10.0,8.0,final,4.0,0.0,6.6393370622881775,6.5445484067686905,999.999428352119,999.9994999746813,1.6598342655720444,2.4722742033843454,2.4722741946504327,377735d,True,3.10.18,1,1,6.24281937484224e-08,8.148586388422409,4.794255792096507,7.707190027095351,4.405823919978829,31.759762710983434,18.409490923777852,1
