step_index,t_start_h,t_end_h,prediction_h,apply_h,nfe,mod_elapsed_s,predicted_end_h,applied_abs_time_h,propagation_mode,schedule_horizon_h,horizon_gap,final_ethanol_pred,ethanol_applied_pred,final_hold_up_pred,hold_up_applied_pred,productivity_pred,economic_metric,economic_metric2,git_commit,git_dirty,python_version,feasible_flag,schedule_feasible_flag,schedule_obj_value,drift_l2,drift_max_abs,drift_l2_avg,drift_max_abs_avg,drift_l2_cum,drift_max_abs_cum,drift_alert
0,0.0,3.0,6.0,3.0,3,0.4553847312927246,6.0,3.0,final,6.0,0.0,4.462751719175257,1.9242319054886812,999.9997853434213,999.999928420068,0.7437919531958762,-0.15858936483710628,-0.15858938035870204,38fe2f9,True,3.10.18,1,1,8.891483763814238e-08,7.506497654453306,4.425194321778051,7.506497654453306,4.425194321778051,7.506497654453306,4.425194321778051,1
1,3.0,6.0,6.0,3.0,3,0.21396613121032715,9.0,6.0,final,6.0,0.0,6.329822998194541,5.298109224688282,999.9995697383976,999.9997134728404,1.0549704996990903,0.9660364082294275,0.9660363998079822,38fe2f9,True,3.10.18,1,1,6.078139846243495e-08,6.470527803388009,4.0255220973038774,6.988512728920657,4.225358209540964,13.977025457841314,8.450716419081928,1
2,6.0,9.0,6.0,3.0,3,0.21106886863708496,12.0,9.0,final,6.0,0.0,6.67710528620656,6.544548322911626,999.9993548770387,999.9994981162088,1.1128508810344266,1.3815161076372087,1.3815160989548232,38fe2f9,True,3.10.18,1,1,6.359880282041956e-08,9.594900527425212,4.82509810431084,7.857308661755508,4.425271507797589,23.571925985266525,13.275814523392768,1
3,9.0,12.0,6.0,3.0,3,0.25363898277282715,15.0,12.0,final,6.0,0.0,6.698837133498888,6.691476526295366,999.9991400114047,999.9992832549301,1.116472855583148,1.4304921754317885,1.4304921693079387,38fe2f9,True,3.10.18,1,1,3.980148278077954e-08,8.072448924336605,4.739040464980576,8.045959085049942,4.529886888865097,31.64437490960313,18.014854988373344,1
