step_index,t_start_h,t_end_h,prediction_h,apply_h,nfe,mod_elapsed_s,predicted_end_h,applied_abs_time_h,propagation_mode,schedule_horizon_h,horizon_gap,final_ethanol_pred,ethanol_applied_pred,final_hold_up_pred,hold_up_applied_pred,productivity_pred,economic_metric,economic_metric2,git_commit,git_dirty,python_version,feasible_flag,schedule_feasible_flag,schedule_obj_value,drift_l2,drift_max_abs,drift_l2_avg,drift_max_abs_avg,drift_l2_cum,drift_max_abs_cum,drift_alert,final_G_pred,final_X_pred,final_F_pred,final_HMF_pred,final_ACT_pred,final_Eth_pred,final_Cell_pred,final_CO2_pred
0,0.0,1.0,2.0,1.0,1,0.3556797504425049,2.0,1.0,final,2.0,0.0,1.924233433241421,0.0,999.9999297823877,1000.0,0.9621167166207105,0.0,0.0,29b6b68,True,3.10.18,1,1,8.891483763814238e-08,8.316456190080734,4.476363898872478,8.316456190080734,4.476363898872478,8.316456190080734,4.476363898872478,,8.04064302053634,2.491662043911274,0.04351620954178948,0.0464263933974807,0.05848570157644872,1.924233433241421,1.0000000702176222,1.9295907946038493
1,1.0,2.0,2.0,1.0,1,0.14489054679870605,3.0,2.0,final,2.0,0.0,3.378036995676174,1.924233433241421,999.999859204707,999.9999297823877,1.689018497838087,1.924233433241421,1.924233433241421,29b6b68,True,3.10.18,1,1,5.436809617027496e-08,8.266120197757557,4.301230579218341,8.291288193919145,4.3887972390454095,16.58257638783829,8.777594478090819,,6.162430734611404,1.064053755962627,0.006234388565285257,0.021005024898217785,0.060265778110033266,3.378036995676174,1.0000001407953225,3.385936494594305
2,2.0,3.0,2.0,1.0,1,0.14491939544677734,4.0,3.0,final,2.0,0.0,4.462751700835611,3.378036995676174,999.9997884247479,999.999859204707,2.2313758504178054,3.378036995676174,3.378036995676174,29b6b68,True,3.10.18,1,1,6.250904047753063e-08,5.443594510763515,3.014966261561753,7.342056966200602,3.930853579884191,22.026170898601805,11.792560739652572,,4.408380320544175,0.41327741515777794,0.0008184462347426908,0.009386223061780007,0.05890881226558601,4.462751700835611,1.0000002115753117,4.471813080645185
3,3.0,4.0,2.0,1.0,1,0.14254403114318848,5.0,4.0,final,2.0,0.0,5.298109858369545,4.462751700835611,999.9997175156772,999.9997884247479,2.6490549291847727,4.462751700835611,4.462751700835611,29b6b68,True,3.10.18,1,1,6.078139822535283e-08,6.993983024989249,4.681587805316028,6.901232577836773,3.999261548698707,29.020153923591053,16.4741485449686,,2.8520218612730734,0.15360439869401998,0.0001061343148487946,0.004170425642070807,0.056234943070313397,5.298109858369545,1.0000002824844223,5.307692818630182
