step_index,mode,AC,ACT,Base,C,CO2,CS,Cell,E,Eth,F,G,HMF,LS,X,XS
0,final,3.5208658453550754,-0.0012741832374119494,-0.6372420035983168,-3.9229972673944644,0.0,-4.47636357421338,-0.03403376032780303,-1.678022850984192,0.0,0.0007240408006785048,0.4011988779516944,-0.0049832944642077825,-0.9275822726844041,-0.23092316694883852,-4.128132821513702
1,final,2.9007187846716675,-0.0013278875639040275,2.6879477908646265,-1.845410479635646,0.03025674480873697,-4.1238654874042595,-0.047876412824737535,-3.578249776436749,0.1691423903832856,-0.00046790408206765464,-0.024127209378148606,0.0007302209073143072,-4.301230891172324,0.039710589875536884,0.9759947596431289
2,final,2.6927917954213996,0.0008355402992036021,-0.1386353447084332,1.0890256243822165,0.08351064027076482,-1.565378939468843,0.00127521393542529,-1.0176188240302935,0.11139213513078605,-1.0127714462891159e-05,0.0035073497026343325,0.00017754316802952048,-2.9313762690326968,0.005000085633931173,3.0149669164368476
3,final,-3.298732931160856,-0.00018230713092506207,-1.6389399051223563,2.541733111585046,-0.2810066827544313,1.6847031423327081,-0.016308395251739882,1.5807424403363939,-0.07154619552904329,1.0713624185762224e-06,-0.007736024108725509,6.972386475429405e-06,-4.681589498333196,0.0008265982654086061,-1.254784369459486
4,final,4.0915358809693885,0.00045511092305931117,-0.16188529719620703,-4.8717126278765335,0.31041930373045723,-3.10938367877624,0.01388009588007244,2.236635219253671,0.32848031934258337,3.913533808684316e-09,-0.0006026558056426365,-5.313388152937887e-06,1.2831762072368633,-0.00011108826874575012,-4.118430195879327
5,final,-1.4795261444015466,-0.0011336633207973817,-1.449386950104227,2.5165040446849076,-0.05341318946090823,-3.224105851624202,-0.0228070393301546,-2.4363789129777302,-0.04401775031262023,-1.7720537358664883e-09,-0.0003044845316258647,-1.8223842790765133e-06,-0.5550013420214412,-2.3777907988811742e-05,4.919582545683852
6,final,-2.3746026402763363,-0.00036296923721247307,4.6968663850515355,0.3580106138606993,-0.11081967327302777,-4.112115864987402,-0.0027489295125852076,4.85348754842623,0.16803231369052618,-2.612502508554894e-11,-4.659310034963414e-05,1.2118914052611143e-07,-4.914393724592443,2.006366118131994e-06,-0.667997659434036
7,final,-4.428414112391977,0.00030831117250402357,2.7613335932303755,1.7905220420818466,-0.23743772398503538,3.8388067960451906,0.0018696152954544853,3.7890947135392565,0.02514907121301313,-5.429803248310854e-12,-2.2836997434877676e-06,7.572385702937998e-08,2.177182144538719,-4.3454529468202755e-07,-0.8096229481373314
0,final,3.520866224367566,-0.0014990800148740324,-0.6372420721958463,-3.9229976896954213,-0.04359177993119134,-4.476364056082829,-0.03403376399002722,-1.6780230316192046,-0.04259082632605837,9.509516577389104e-05,0.2854198614715413,-0.00180292815868182,-0.9275823725363352,-0.08543315803240481,-4.128133265896977
1,final,2.9007190967561485,-0.0012798872242105186,2.687948080057353,-1.8454106781808974,0.04083286572617695,-4.1238659310854615,-0.047876417973691354,-3.5782501614158946,0.22830739021212043,-9.12728278395952e-06,-0.011908385214547845,0.00014944611605716054,-4.301231353936046,0.006494142289075966,0.9759948646491097
2,final,2.692792085150188,0.0007582317888169335,-0.1386353596248,1.0890257415550622,0.09084975737969003,-1.5653791078945432,0.0012752140725773575,-1.0176189335201826,0.12118961820808316,-3.368821298170611e-08,0.0007982977130332469,2.0693415250320145e-05,-2.9313765844317885,0.00037631648143233304,3.0149672408298187
3,final,-3.2987332862114442,-0.00016161575400227418,-1.6389400815254191,2.5417333851579116,-0.28581174531170284,1.6847033236613669,-0.016308397006368547,1.580742610475511,-0.07277047184749552,6.134918050937351e-10,-0.0007853932463750476,4.643367434129539e-07,-4.681590002223956,2.9254879289566764e-05,-1.2547845045149586
4,final,4.091536319772871,0.00039822637018076257,-0.16188531455786404,-4.871713150351354,0.31134004312376096,-3.1093840122471903,0.013880097368084598,2.2366354591252957,0.32945514281637767,3.859668090605192e-13,-2.896111127592303e-05,-2.0236714600963924e-07,1.283176344853203,-1.8571982276496465e-06,-4.11843063756713
5,final,-1.4795263025085177,-0.0009818396648160095,-1.4493871049904357,2.516504313606717,-0.053439708510244266,-3.2241061961626514,-0.022807041766433556,-2.436379173337116,-0.04403961045590421,-3.0100646247457e-14,-7.04057634769357e-06,-3.9702578766412404e-08,-0.5550014013306992,-1.8792866254812892e-07,4.919583071406464
6,final,-2.374602893131936,-0.0003113761922927706,4.696866885189493,0.35801065198285187,-0.11082876498614969,-4.112116302859178,-0.002748929805185263,4.85348806524172,0.168046098136597,-7.643179974887088e-17,-5.200177513787548e-07,1.5103360052247833e-09,-4.914394247893441,7.497485049916727e-09,-0.6679977305646361
7,final,-4.428414582274399,0.00026202527530409456,2.761333886225131,1.7905222320674312,-0.23744094104992275,3.838807203366585,0.0018696154937538623,3.7890951155859085,0.025149411785928777,-2.7360236120420423e-18,-1.2309046897417395e-08,5.398563113186853e-10,2.177182375551368,-7.677776254062529e-10,-0.8096230340433834
