step_index,t_start_h,t_end_h,prediction_h,apply_h,nfe,mod_elapsed_s,predicted_end_h,applied_abs_time_h,propagation_mode,schedule_horizon_h,horizon_gap,final_ethanol_pred,ethanol_applied_pred,final_hold_up_pred,hold_up_applied_pred,productivity_pred,economic_metric,economic_metric2,git_commit,git_dirty,python_version,feasible_flag,schedule_feasible_flag,schedule_obj_value,drift_l2,drift_max_abs,drift_l2_avg,drift_max_abs_avg,drift_l2_cum,drift_max_abs_cum,drift_alert,final_G_pred,final_X_pred,final_F_pred,final_HMF_pred,final_ACT_pred,final_Eth_pred,final_Cell_pred,final_CO2_pred
0,0.0,3.0,6.0,3.0,1,0.36450815200805664,6.0,3.0,final,6.0,0.0,4.1138797252954005,0.0,999.9997847283524,1000.0,0.6856466208825668,-0.8,-0.8,29b6b68,True,3.10.18,1,1,8.891483763814238e-08,8.316455588788774,4.47636357421338,8.316455588788774,4.47636357421338,8.316455588788774,4.47636357421338,,4.66873199320376,0.9795442005482805,0.011489768268977624,0.021614551245583907,0.056583313995188345,4.1138797252954005,1.0000002152717402,4.12171827232356
1,3.0,6.0,6.0,3.0,1,0.13645529747009277,9.0,6.0,final,6.0,0.0,6.02649920496155,4.1138797252954005,999.9995694693758,999.9997847283524,1.0044165341602584,0.5712932417651335,0.5712932417651335,29b6b68,True,3.10.18,1,1,6.303616610142222e-08,8.266924575782005,4.301230891172324,8.291690082285388,4.388797232692852,16.583380164570777,8.777594465385704,,1.2954223083106362,0.16163798672307703,0.0005482238429624056,0.004551238621181379,0.05013513595646308,6.02649920496155,1.0000004305309023,6.036044085404742
2,6.0,9.0,6.0,3.0,1,0.35600924491882324,12.0,9.0,final,6.0,0.0,6.5755325893352,6.02649920496155,999.9993542645926,999.9995694693758,1.0959220982225333,1.2088330683205168,1.2088330683205168,29b6b68,True,3.10.18,1,1,5.998842951650925e-08,5.444694458732327,3.0149669164368476,7.342691541101035,3.9308537939408503,22.028074623303105,11.792561381822551,,0.24286254466908785,0.025815852752332877,2.5900471583238472e-05,0.0009529216934458651,0.04216858116592216,6.5755325893352,1.0000006457359634,6.585437303623217
3,9.0,12.0,6.0,3.0,1,0.17253851890563965,15.0,12.0,final,6.0,0.0,6.679238067965667,6.5755325893352,999.9991386399734,999.9993542645926,1.1132063446609444,1.3918441964450665,1.3918441964450665,29b6b68,True,3.10.18,1,1,6.234182479546034e-08,6.995807008464972,4.681589498333196,6.902475347659768,3.9992624353141224,29.023881631768077,16.474150880155747,,0.0406962519057233,0.0041011618915089,1.2230752241189113e-06,0.00019928183647720157,0.035011034559681485,6.679238067965667,1.0000008613609541,6.6892181483956294
4,12.0,15.0,6.0,3.0,1,0.16588401794433594,18.0,15.0,final,6.0,0.0,6.696607608944505,6.679238067965667,999.9989230156491,999.9991386399734,1.1161012681574174,1.4264126893218887,1.4264126893218887,29b6b68,True,3.10.18,1,1,6.249356746047196e-08,8.60137906212659,4.8717126278765335,7.013960176441297,4.189423014215525,37.62526069389467,21.34586350803228,,0.006679194407391771,0.0006509637199595213,5.775491286006488e-08,4.166485686495417e-05,0.028965857681662655,6.696607608944505,1.0000010769857428,6.706603453228677
5,15.0,18.0,6.0,3.0,1,0.4196188449859619,21.0,18.0,final,6.0,0.0,6.699453902557911,6.696607608944505,999.9987073917961,999.9989230156491,1.1165756504263185,1.4322025363148347,1.4322025363148347,29b6b68,True,3.10.18,1,1,5.404166918163072e-08,7.174185980597691,4.919582545683852,7.5904573503964174,4.824294890631194,44.79944667449236,26.265446053716133,,0.0010924115286136558,0.00010331127768375304,2.7272449892963306e-09,8.71062584126525e-06,0.023937354446534755,6.699453902557911,1.0000012926101534,6.70945304442143
6,18.0,21.0,6.0,3.0,1,0.19747209548950195,24.0,21.0,final,6.0,0.0,6.699919620427356,6.699453902557911,999.9984917679603,999.9987073917961,1.116653270071226,1.4331513008526369,1.4331513008526369,29b6b68,True,3.10.18,1,1,3.88189607421389e-08,9.640088770855145,4.914393724592443,8.471884604526474,4.901896299384276,54.4395354453475,31.179839778308576,,0.0001785669673437706,1.6395673509367653e-05,1.2878321456955118e-10,1.821059002951451e-06,0.01977219122128368,6.699919620427356,1.0000015082346394,6.709919453403803
7,21.0,24.0,6.0,3.0,1,0.24534296989440918,27.0,24.0,final,6.0,0.0,6.699996791603655,6.699919620427356,999.9982761441269,999.9984917679603,1.1166661319339426,1.4333065401424518,1.4333065401424518,29b6b68,True,3.10.18,1,1,3.944286612588189e-08,8.06151874403175,4.428414112391977,8.291931165161529,4.754130127556091,62.50105418937925,35.60825389070055,,2.9186058935467714e-05,2.6020115976067283e-06,6.081269916673152e-12,3.8071291670112947e-07,0.016327064821511736,6.699996791603655,1.0000017238592163,6.709996770770956
0,0.0,3.0,6.0,3.0,2,0.4368321895599365,6.0,3.0,final,6.0,0.0,4.370922033856919,2.616411825050762,999.9997848238982,999.9998923943936,0.7284870056428199,0.07213727501692069,0.07213727501692069,29b6b68,True,3.10.18,1,1,8.891483763814238e-08,8.309128620102616,4.476364056082829,8.309128620102616,4.476364056082829,8.309128620102616,4.476364056082829,,4.474083662180453,0.5656502164960908,0.002475151796444162,0.012718106676720723,0.05826612211670826,4.370922033856919,1.0000002151761713,4.379650225341009
1,3.0,6.0,6.0,3.0,2,0.19151687622070312,9.0,6.0,final,6.0,0.0,6.252947591634214,5.552890328677522,999.9995695402985,999.9996771815993,1.0421579319390357,1.0509634428925074,1.0509634428925074,29b6b68,True,3.10.18,1,1,6.168502233079232e-08,8.2682735612978,4.301231353936046,8.288701090700208,4.388797705009438,16.577402181400416,8.777595410018876,,0.9134836007452906,0.04429500024196844,2.0220080818676224e-05,0.0015328554889215893,0.050007377607028926,6.252947591634214,1.0000004304599333,6.262794310389921
