step_index,t_start_h,t_end_h,prediction_h,apply_h,nfe,mod_elapsed_s,predicted_end_h,applied_abs_time_h,propagation_mode,schedule_horizon_h,horizon_gap,final_ethanol_pred,ethanol_applied_pred,final_hold_up_pred,hold_up_applied_pred,productivity_pred,economic_metric,economic_metric2,git_commit,git_dirty,python_version,feasible_flag,schedule_feasible_flag,schedule_obj_value,drift_l2,drift_max_abs,drift_l2_avg,drift_max_abs_avg,drift_l2_cum,drift_max_abs_cum,drift_alert,final_G_pred,final_X_pred,final_F_pred,final_HMF_pred,final_ACT_pred,final_Eth_pred,final_Cell_pred,final_CO2_pred
0,0.0,2.0,3.0,2.0,2,0.3582937717437744,3.0,2.0,applied,3.0,0.0,2.7560245704310535,1.5187397935868563,999.9998932493012,999.9999465849787,0.9186748568103512,0.7593698967934281,0.7593698967934281,9205da6,True,3.10.18,1,1,8.891483763814238e-08,7.562626448406773,4.749892495160665,7.562626448406773,4.749892495160665,7.562626448406773,4.749892495160665,,7.0770104363771695,1.5444530992534615,0.012089093777803239,0.028469422958963143,0.06059242602910077,2.7560245704310535,1.0000001067507158,2.763177629202664
1,2.0,4.0,3.0,2.0,2,0.14192962646484375,5.0,4.0,applied,3.0,0.0,3.7301530042741025,2.756024571949207,999.9998403548329,999.999892878837,1.2433843347580342,1.3780122859746036,1.3780122859746036,9205da6,True,3.10.18,1,1,8.891483763814238e-08,5.83328484623468,3.445205221281995,6.697955647320726,4.09754885822133,13.395911294641452,8.19509771644266,,5.688882902268299,0.7401827532062482,0.0020686898315129825,0.014838953990664457,0.06063719523830828,3.7301530042741025,1.0000001596451993,3.738669110471488
