step_index,t_start_h,t_end_h,prediction_h,apply_h,nfe,mod_elapsed_s,predicted_end_h,applied_abs_time_h,propagation_mode,schedule_horizon_h,horizon_gap,final_ethanol_pred,ethanol_applied_pred,final_hold_up_pred,hold_up_applied_pred,productivity_pred,economic_metric,economic_metric2,git_commit,git_dirty,python_version,feasible_flag,schedule_feasible_flag,schedule_obj_value,drift_l2,drift_max_abs,drift_l2_avg,drift_max_abs_avg,drift_l2_cum,drift_max_abs_cum,drift_alert,final_G_pred,final_X_pred,final_F_pred,final_HMF_pred,final_ACT_pred,final_Eth_pred,final_Cell_pred,final_CO2_pred
0,0.0,2.0,4.0,2.0,2,0.3580913543701172,4.0,2.0,final,4.0,0.0,3.3780370040642693,1.924233435471131,999.9998575190241,999.9999292166566,0.8445092510160673,0.16211671773556546,0.16211671773556546,9205da6,True,3.10.18,1,1,8.891483763814238e-08,7.506498580748147,4.425194478694792,7.506498580748147,4.425194478694792,7.506498580748147,4.425194478694792,,6.162430741310045,1.0640537553565848,0.006234388552980477,0.021005024888365902,0.06026577820637671,3.3780370040642693,1.0000001424810065,3.385936503000243
1,2.0,4.0,4.0,2.0,2,0.16228055953979492,6.0,4.0,final,4.0,0.0,5.298109875633736,4.462751711944993,999.9997148500523,999.9997865351345,1.324527468908434,1.4313758559724963,1.4313758559724963,9205da6,True,3.10.18,1,1,8.891483763814238e-08,6.4694393318507455,4.025521949141009,6.987968956299446,4.2253582139179,13.975937912598893,8.4507164278358,,2.8520218629633094,0.15360439819650573,0.00010613431422583591,0.004170425631285517,0.056234943191016754,5.298109875633736,1.0000002851500496,5.307692835922108
2,4.0,6.0,4.0,2.0,2,0.15899085998535156,8.0,6.0,final,4.0,0.0,6.329822975588517,5.923118117256747,999.9995715943816,999.9996432183782,1.5824557438971292,2.1615590586283737,2.1615590586283737,9205da6,True,3.10.18,1,1,8.891483763814238e-08,9.595195030663314,4.825097579119202,7.857044314420736,4.425271335651668,23.571132943262207,13.275814006955002,,0.7702981759366235,0.02034938009998059,1.7786939818005811e-06,0.000818147653947927,0.04987570564603867,6.329822975588517,1.0000004284058328,6.3397411651071796
