step_index,t_start_h,t_end_h,prediction_h,apply_h,nfe,mod_elapsed_s,predicted_end_h,applied_abs_time_h,propagation_mode,schedule_horizon_h,horizon_gap,final_ethanol_pred,ethanol_applied_pred,final_hold_up_pred,hold_up_applied_pred,productivity_pred,economic_metric,economic_metric2,git_commit,git_dirty,python_version,feasible_flag,schedule_feasible_flag,schedule_obj_value,drift_l2,drift_max_abs,drift_l2_avg,drift_max_abs_avg,drift_l2_cum,drift_max_abs_cum,drift_alert
0,0.0,1.0,2.0,1.0,1,0.38370466232299805,2.0,1.0,final,2.0,0.0,1.924233433241421,0.0,999.9999297823877,1000.0,0.9621167166207105,0.0,0.0,38fe2f9,True,3.10.18,1,1,8.891483763814238e-08,7.025243096004718,4.670605425245853,7.025243096004718,4.670605425245853,7.025243096004718,4.670605425245853,
1,1.0,2.0,2.0,1.0,1,0.14251923561096191,3.0,2.0,final,2.0,0.0,3.378036995676174,1.924233433241421,999.999859204707,999.9999297823877,1.689018497838087,1.924233433241421,1.924233433241421,38fe2f9,True,3.10.18,1,1,5.436809617027496e-08,9.579813354299281,4.677413585827765,8.302528225151999,4.674009505536809,16.605056450303998,9.348019011073617,
2,2.0,3.0,2.0,1.0,1,0.14378929138183594,4.0,3.0,final,2.0,0.0,4.462751700835611,3.378036995676174,999.9997884247479,999.999859204707,2.2313758504178054,3.378036995676174,3.378036995676174,38fe2f9,True,3.10.18,1,1,6.250904047753063e-08,9.100573416658282,4.307812702824009,8.568543288987426,4.551943904632542,25.70562986696228,13.655831713897626,
3,3.0,4.0,2.0,1.0,1,0.13570117950439453,5.0,4.0,final,2.0,0.0,5.298109858369545,4.462751700835611,999.9997175156772,999.9997884247479,2.6490549291847727,4.462751700835611,4.462751700835611,38fe2f9,True,3.10.18,1,1,6.078139822535283e-08,7.947043716967681,4.831894889225765,8.875810162641747,4.605707059292513,33.65267358392996,18.48772660312339,
0,0.0,1.0,2.0,1.0,1,0.3623995780944824,2.0,1.0,final,2.0,0.0,1.924233433241421,0.0,999.9999297823877,1000.0,0.9621167166207105,0.0,0.0,38fe2f9,True,3.10.18,1,1,8.891483763814238e-08,8.316456190080734,4.476363898872478,8.316456190080734,4.476363898872478,8.316456190080734,4.476363898872478,
1,1.0,2.0,2.0,1.0,1,0.12699151039123535,3.0,2.0,final,2.0,0.0,3.378036995676174,1.924233433241421,999.999859204707,999.9999297823877,1.689018497838087,1.924233433241421,1.924233433241421,38fe2f9,True,3.10.18,1,1,5.436809617027496e-08,8.266120197757557,4.301230579218341,8.291288193919145,4.3887972390454095,16.58257638783829,8.777594478090819,
2,2.0,3.0,2.0,1.0,1,0.12931156158447266,4.0,3.0,final,2.0,0.0,4.462751700835611,3.378036995676174,999.9997884247479,999.999859204707,2.2313758504178054,3.378036995676174,3.378036995676174,38fe2f9,True,3.10.18,1,1,6.250904047753063e-08,5.443594510763515,3.014966261561753,7.342056966200602,3.930853579884191,22.026170898601805,11.792560739652572,
3,3.0,4.0,2.0,1.0,1,0.12787127494812012,5.0,4.0,final,2.0,0.0,5.298109858369545,4.462751700835611,999.9997175156772,999.9997884247479,2.6490549291847727,4.462751700835611,4.462751700835611,38fe2f9,True,3.10.18,1,1,6.078139822535283e-08,6.993983024989249,4.681587805316028,6.901232577836773,3.999261548698707,29.020153923591053,16.4741485449686,
0,0.0,1.0,2.0,1.0,1,0.4116508960723877,2.0,1.0,final,2.0,0.0,1.924233433241421,0.0,999.9999297823877,1000.0,0.9621167166207105,0.0,0.0,958ae2e,True,3.10.18,1,1,8.891483763814238e-08,8.316456190080734,4.476363898872478,8.316456190080734,4.476363898872478,8.316456190080734,4.476363898872478,
1,1.0,2.0,2.0,1.0,1,0.15617966651916504,3.0,2.0,final,2.0,0.0,3.378036995676174,1.924233433241421,999.999859204707,999.9999297823877,1.689018497838087,1.924233433241421,1.924233433241421,958ae2e,True,3.10.18,1,1,5.436809617027496e-08,8.266120197757557,4.301230579218341,8.291288193919145,4.3887972390454095,16.58257638783829,8.777594478090819,
