step_index,t_start_h,t_end_h,prediction_h,apply_h,nfe,mod_elapsed_s,final_ethanol_pred,final_hold_up_pred,productivity_pred,git_commit,git_dirty,python_version,feasible_flag
0,0.0,3.0,6.0,3.0,3,0.5268614292144775,4.462751719175257,999.9997853434213,0.7437919531958762,38fe2f9,True,3.10.18,0
1,3.0,6.0,6.0,3.0,3,0.23786234855651855,6.32982299819516,999.999569738297,1.0549704996991933,38fe2f9,True,3.10.18,0
2,6.0,9.0,6.0,3.0,3,0.30852842330932617,6.677105286195795,999.9993548786091,1.1128508810326325,38fe2f9,True,3.10.18,0
3,9.0,12.0,6.0,3.0,3,0.23384642601013184,6.698837133493325,999.999140012193,1.1164728555822208,38fe2f9,True,3.10.18,0
