step_index,t_start_h,t_end_h,prediction_h,apply_h,nfe,mod_elapsed_s,predicted_end_h,applied_abs_time_h,propagation_mode,schedule_horizon_h,horizon_gap,final_ethanol_pred,ethanol_applied_pred,final_hold_up_pred,hold_up_applied_pred,productivity_pred,economic_metric,economic_metric2,git_commit,git_dirty,python_version,feasible_flag,schedule_feasible_flag,schedule_obj_value,drift_l2,drift_max_abs,drift_l2_avg,drift_max_abs_avg,drift_l2_cum,drift_max_abs_cum,drift_alert
0,0.0,3.0,6.0,3.0,1,0.3269054889678955,6.0,3.0,final,6.0,0.0,4.1138797252954005,0.0,999.9997847283524,1000.0,0.6856466208825668,-0.8,-0.8,38fe2f9,True,3.10.18,1,1,8.891483763814238e-08,7.025242589299527,4.6706050864989095,7.025242589299527,4.6706050864989095,7.025242589299527,4.6706050864989095,
1,3.0,6.0,6.0,3.0,1,0.15691661834716797,9.0,6.0,final,6.0,0.0,6.02649920496155,4.1138797252954005,999.9995694693758,999.9997847283524,1.0044165341602584,0.5712932417651335,0.5712932417651335,38fe2f9,True,3.10.18,1,1,6.303616610142222e-08,9.57725822552542,4.6774139250650535,8.301250407412473,4.6740095057819815,16.602500814824946,9.348019011563963,
2,6.0,9.0,6.0,3.0,1,0.15752267837524414,12.0,9.0,final,6.0,0.0,6.5755325893352,6.02649920496155,999.9993542645926,999.9995694693758,1.0959220982225333,1.2088330683205168,1.2088330683205168,38fe2f9,True,3.10.18,1,1,5.998842951650925e-08,9.100721476915423,4.3078136385158246,8.567740763913456,4.551944216693262,25.703222291740367,13.655832650079788,
3,9.0,12.0,6.0,3.0,1,0.16186976432800293,15.0,12.0,final,6.0,0.0,6.679238067965667,6.5755325893352,999.9991386399734,999.9993542645926,1.1132063446609444,1.3918441964450665,1.3918441964450665,38fe2f9,True,3.10.18,1,1,6.234182479546034e-08,7.950639407981508,4.831896636598955,8.876206370140784,4.605708066726611,33.65386169972187,18.487729286678743,
4,12.0,15.0,6.0,3.0,1,0.18354249000549316,18.0,15.0,final,6.0,0.0,6.696607608944505,6.679238067965667,999.9989230156491,999.9991386399734,1.1161012681574174,1.4264126893218887,1.4264126893218887,38fe2f9,True,3.10.18,1,1,6.249356746047196e-08,7.970643372745045,4.881875273158528,8.340668085880658,4.673861849424436,41.62450507246692,23.36960455983727,
5,15.0,18.0,6.0,3.0,1,0.1770188808441162,21.0,18.0,final,6.0,0.0,6.699453902557911,6.696607608944505,999.9987073917961,999.9989230156491,1.1165756504263185,1.4322025363148347,1.4322025363148347,38fe2f9,True,3.10.18,1,1,5.404166918163072e-08,6.44888372801894,4.2219197837061415,7.45672216958183,4.645230564487875,48.07338880048586,27.591524343543412,
6,18.0,21.0,6.0,3.0,1,0.16172218322753906,24.0,21.0,final,6.0,0.0,6.699919620427356,6.699453902557911,999.9984917679603,999.9987073917961,1.116653270071226,1.4331513008526369,1.4331513008526369,38fe2f9,True,3.10.18,1,1,3.88189607421389e-08,6.816061676049749,4.501800618771824,7.078529592271245,4.535198558545498,54.88945047653561,32.093324962315236,
7,21.0,24.0,6.0,3.0,1,0.1636505126953125,27.0,24.0,final,6.0,0.0,6.699996791603655,6.699919620427356,999.9982761441269,999.9984917679603,1.1166661319339426,1.4333065401424518,1.4333065401424518,38fe2f9,True,3.10.18,1,1,3.944286612588189e-08,8.511507089205589,4.431087900655484,7.258817497758092,4.384936101044484,63.400957565741194,36.52441286297072,
8,24.0,27.0,6.0,3.0,1,0.16499972343444824,30.0,27.0,final,6.0,0.0,6.700010587342537,6.699996791603655,999.9980605194462,999.9982761441269,1.1166684312237563,1.4333322638678851,1.4333322638678851,38fe2f9,True,3.10.18,1,1,4.1425224861297545e-08,7.309458412457311,3.7031165770728904,7.545675725904217,4.2120016988334,70.71041597819851,40.22752944004361,
9,27.0,30.0,6.0,3.0,1,0.16356611251831055,33.0,30.0,final,6.0,0.0,6.700014046580827,6.700010587342537,999.9978448947655,999.9980605194462,1.116669007763471,1.4333368624475125,1.4333368624475125,38fe2f9,True,3.10.18,1,1,3.917024187335329e-08,6.609079814570302,4.99341831472438,7.476681772077735,4.3758742641509185,77.31949579276882,45.22094775476799,
10,30.0,33.0,6.0,3.0,1,0.1607677936553955,36.0,33.0,final,6.0,0.0,6.700015819877668,6.700014046580827,999.9976292700846,999.9978448947655,1.1166693033129447,1.4333380155269422,1.4333380155269422,38fe2f9,True,3.10.18,1,1,5.269230331768089e-08,6.606926440761263,4.329213165028534,6.841821555929626,4.341916018941935,83.92642223353008,49.550160919796525,
11,33.0,36.0,6.0,3.0,1,0.16234779357910156,39.0,36.0,final,6.0,0.0,6.700017318173919,6.700015819877668,999.9974136454036,999.9976292700846,1.1166695530289865,1.4333386066258893,1.4333386066258893,38fe2f9,True,3.10.18,1,1,5.8678304711923875e-08,5.440986706631937,4.045165619202507,6.2189976539878336,4.455932366318474,89.36740894016201,53.59532653899903,
12,36.0,39.0,6.0,3.0,1,0.1615147590637207,42.0,39.0,final,6.0,0.0,6.700018773216171,6.700017318173919,999.9971977812586,999.9974136454036,1.1166697955360285,1.433339106057973,1.433339106057973,38fe2f9,True,3.10.18,1,1,6.030114076200549e-08,7.917968217579369,4.920127024225721,6.655293788324189,4.431501936152254,97.28537715774138,58.51545356322475,
13,39.0,42.0,6.0,3.0,1,0.16588568687438965,45.0,42.0,final,6.0,0.0,6.700020219336754,6.700018773216171,999.9969821565691,999.9971977812586,1.1166700365561257,1.433339591072057,1.433339591072057,38fe2f9,True,3.10.18,1,1,6.059625097037115e-08,8.472444112943668,4.563257799638819,7.277133012384991,4.509516814355682,105.75782127068504,63.07871136286357,
14,42.0,45.0,6.0,3.0,1,0.1617450714111328,48.0,45.0,final,6.0,0.0,6.7000216642641135,6.700020219336754,999.9967665318794,999.9969821565691,1.1166702773773522,1.4333400731122514,1.4333400731122514,38fe2f9,True,3.10.18,1,1,6.064624810313817e-08,7.401747854010499,4.243391431310471,7.930720061511178,4.575592085058337,113.15956912469554,67.32210279417404,
15,45.0,48.0,6.0,3.0,1,0.16342949867248535,51.0,48.0,final,6.0,0.0,6.700023108997322,6.7000216642641135,999.9965509071897,999.9967665318794,1.1166705181662204,1.4333405547547045,1.4333405547547045,38fe2f9,True,3.10.18,1,1,6.066316131556344e-08,8.598537317700647,4.34391831264783,8.157576428218272,4.383522514532373,121.75810644239618,71.66602110682187,
0,0.0,3.0,6.0,3.0,1,0.3231496810913086,6.0,3.0,final,6.0,0.0,4.1138797252954005,0.0,999.9997847283524,1000.0,0.6856466208825668,-0.8,-0.8,38fe2f9,True,3.10.18,1,1,8.891483763814238e-08,8.316455588788774,4.47636357421338,8.316455588788774,4.47636357421338,8.316455588788774,4.47636357421338,
1,3.0,6.0,6.0,3.0,1,0.13608598709106445,9.0,6.0,final,6.0,0.0,6.02649920496155,4.1138797252954005,999.9995694693758,999.9997847283524,1.0044165341602584,0.5712932417651335,0.5712932417651335,38fe2f9,True,3.10.18,1,1,6.303616610142222e-08,8.266924575782005,4.301230891172324,8.291690082285388,4.388797232692852,16.583380164570777,8.777594465385704,
2,6.0,9.0,6.0,3.0,1,0.14414215087890625,12.0,9.0,final,6.0,0.0,6.5755325893352,6.02649920496155,999.9993542645926,999.9995694693758,1.0959220982225333,1.2088330683205168,1.2088330683205168,38fe2f9,True,3.10.18,1,1,5.998842951650925e-08,5.444694458732327,3.0149669164368476,7.342691541101035,3.9308537939408503,22.028074623303105,11.792561381822551,
3,9.0,12.0,6.0,3.0,1,0.1408236026763916,15.0,12.0,final,6.0,0.0,6.679238067965667,6.5755325893352,999.9991386399734,999.9993542645926,1.1132063446609444,1.3918441964450665,1.3918441964450665,38fe2f9,True,3.10.18,1,1,6.234182479546034e-08,6.995807008464972,4.681589498333196,6.902475347659768,3.9992624353141224,29.023881631768077,16.474150880155747,
4,12.0,15.0,6.0,3.0,1,0.13383769989013672,18.0,15.0,final,6.0,0.0,6.696607608944505,6.679238067965667,999.9989230156491,999.9991386399734,1.1161012681574174,1.4264126893218887,1.4264126893218887,38fe2f9,True,3.10.18,1,1,6.249356746047196e-08,8.60137906212659,4.8717126278765335,7.013960176441297,4.189423014215525,37.62526069389467,21.34586350803228,
